"","X.1","place","subject","identifier","type","lastname","firstname","translator","title","volume","edition","place_4","place_3","place_2","publisher","year","format","ISBN","ISSN","ISMN","EAN.UPC","binding.price","language","country","date.of.publication","description","collective.title","links","relation","rights","subject.headings","connected.titles","uniform.title","frequency","wv.number","Freq","X","latitude","longitude","author"
"321",321,"","","ISBN:978-94-014-0599-7 kart., 9401405999 (falsch), IDN:1041901380",NA,"De Lombaert","Anja",NA,"Een droom komt uit / [vertaling: Anja De Lombaert]","Een droom komt uit / [vertaling: Anja De Lombaert]","2. dr.",NA,NA,NA,NA,2011,"215 S.","978-94-014-0599-7",NA,NA,NA,"kart.","dut","",NA,NA,"","","http://d-nb.info/1067881425",NA,"","","","","15,A11",2468,1,NA,NA,"De Lombaert, Anja"
"351",351,"","","ISBN:978-84-205-5461-7 Pp., IDN:1015963803",NA,"Nieto Silva","Eva",NA,"Los niños desaparecidos / [trad. del alemán Eva Nieto Silva]","Los niños desaparecidos / [trad. del alemán Eva Nieto Silva]","",NA,NA,NA,NA,2008,"583 S.","978-84-205-5461-7",NA,NA,NA,"Pp.","spa","",NA,NA,"","","http://d-nb.info/1017475563",NA,"","","",NA,"11,A49",2468,1,NA,NA,"Nieto Silva, Eva"
"563",563,"","","ISBN:0-413-65850-3 kart., IDN:950283304",NA,"Fleißer","Marieluise"," Castledine, Annie [Herausgeber]","Vol. 9. Purgatory in Ingolstadt / Marieluise Fleisser [u.a.]. Ed. and introd. by Annie Castledine","Vol. 9. Purgatory in Ingolstadt / Marieluise Fleisser [u.a.]. Ed. and introd. by Annie Castledine","Reprinted",NA,NA,NA,NA,1993,"207 S.","0-413-65850-3",NA,NA,NA,"kart.","eng","","","","","","http://d-nb.info/950283126",NA,"","","","","97,G03,1903",2468,1,NA,NA,"Fleißer, Marieluise"
"617",617,"","","ISBN:975-510-872-6 kart., IDN:97674175X",NA,"Kantemir","İris",NA,"Cilt 2. / Almanca aslından çeviren Iris Kantemir","Cilt 2. / Almanca aslından çeviren Iris Kantemir","3. basım",NA,NA,NA,NA,2005,"458 S.","975-510-872-6",NA,NA,NA,"kart.","tur","",NA,NA,"[Can yayınları / Modern klasikler] Can yayınları, Modern klasikler ; 97","","http://d-nb.info/958621896, http://d-nb.info/980550920",NA,"","","",NA,"06,A34,1899",2468,1,NA,NA,"Kantemir, İris"
"631",631,"","","ISBN:978-3-9502315-1-9 in Bucheinbandtasche : EUR 23.00 (DE), EUR 23.70 (AT), sfr 36.80 (freier Pr.) (jeweils mit Buch), 3-9502315-1-X in Bucheinbandtasche : EUR 23.00 (DE), EUR 23.70 (AT), sfr 36.80 (freier Pr.) (jeweils mit Buch), IDN:988340127",NA,"Koschel","Christine",NA,"Bd. 2. Christine Koschel - Székely Magda; CD.","Bd. 2. Christine Koschel - Székely Magda; CD.","",NA,NA,NA,NA,2007,"1 CD ; 12 cm","978-3-9502315-1-9",NA,NA,NA,"in Bucheinbandtasche : EUR 23.00 (DE), EUR 23.70 (AT), sfr 36.80 (freier Pr.) (jeweils mit Buch)","ger","",NA,NA,"","Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=3050168&prov=M&dok_var=1&dok_ext=htm]","http://d-nb.info/98978777X",NA,"","","",NA,"08,A19,2390",2468,1,NA,NA,"Koschel, Christine"
"691",691,"","","ISBN:kart. in Kassette, IDN:96122424X",NA,"Ch'ae","Un-jŏng",NA,"Vol. 2. / A cura di Woon-Jung Chei. Trad. di Alessandra Luise","Vol. 2. / A cura di Woon-Jung Chei. Trad. di Alessandra Luise","1. ed. Oscar varia",NA,NA,NA,NA,1999,"163 S.","",NA,NA,NA,"kart. in Kassette","ita","","","","","","http://d-nb.info/961224010",NA,"","","","","01,G03,1703",2468,1,NA,NA,"Ch'ae, Un-jŏng"
"705",705,"","","ISBN:978-83-7686-213-2 kart. : zł 49.90, IDN:1069612170","","Nowak-Kreyer","Maciej",NA,"Dziedzictwo śiwatła / z  niemieckiego przeł. Maciej Nowak-Kreyer ; Szymon Łostówka","Dziedzictwo śiwatła / z  niemieckiego przeł. Maciej Nowak-Kreyer ; Szymon Łostówka","",NA,NA,NA,NA,2014,"692 S.","978-83-7686-213-2",NA,NA,NA,"kart. : zł 49.90","pol","",NA,NA,"","","http://d-nb.info/1069631876",NA,"","","","","15,A18",2468,1,NA,NA,"Nowak-Kreyer, Maciej"
"716",716,"","","ISBN:978-86-7188-158-6 Broschur, IDN:1140137336","","Dražić","Relja",NA,"1","1","",NA,NA,NA,NA,2015,"340 Seiten ; 21 cm","978-86-7188-158-6",NA,NA,NA,"Broschur","srp","","",NA,"","Inhaltsverzeichnis [http://d-nb.info/1140137336/04]","http://d-nb.info/1143547322",NA,"","","","","17,A46",2468,1,NA,NA,"Dražić, Relja"
"741",741,"","","ISBN:9985-896-90-4 geh., IDN:972701710",NA,"Schumann","Anneliese",NA,"Nr. 4. Reetmine kihlusepäeval : lihane õde löbb komtessilt armastatud mehe üle / Anneliese Schumann. [Tõlkinud Aivar Lorits]","Nr. 4. Reetmine kihlusepäeval : lihane õde löbb komtessilt armastatud mehe üle / Anneliese Schumann. [Tõlkinud Aivar Lorits]","",NA,NA,NA,NA,2001,"62 S.","9985-896-90-4",NA,NA,NA,"geh.","est","",NA,NA,"","","http://d-nb.info/976779552",NA,"","","",NA,"05,A48,1642",2468,1,NA,NA,"Schumann, Anneliese"
"746",746,"","","ISBN:978-4-15-011687-3 kart. : Y 580.00, IDN:992760143",NA,"Aoyama","Akane",NA,"354. Arīna-no-senshi / H. G. Ēverusu & Kurāku Dāruton. Aoyama Akane ; Masuda Kumiko yaku","354. Arīna-no-senshi / H. G. Ēverusu & Kurāku Dāruton. Aoyama Akane ; Masuda Kumiko yaku","",NA,NA,NA,NA,2008,"267 S. : Ill. ; 15 cm","978-4-15-011687-3",NA,NA,NA,"kart. : Y 580.00","jpn","",NA,NA,"[Hayakawa-bunko / SF] Hayakawa bunko, SF ; 1687","","http://d-nb.info/1108602320, http://d-nb.info/965282317",NA,"","","",NA,"09,A30,2413",2468,1,NA,NA,"Aoyama, Akane"
"769",769,"","","ISBN:80-243-0437-6 kart. : Kč 85.00, IDN:966583930",NA,"Schuster","Gaby",NA,"Tanec na sopce : Rex dostává úkol / Gaby Schusterová. [Z německého orig. přel. František Ryčl]","Tanec na sopce : Rex dostává úkol / Gaby Schusterová. [Z německého orig. přel. František Ryčl]","Vyd. 2",NA,NA,NA,NA,2000,"159 S.","80-243-0437-6",NA,NA,NA,"kart. : Kč 85.00","cze","",NA,NA,"","","http://d-nb.info/960436405",NA,"","","","","03,G02,2040",2468,1,NA,NA,"Schuster, Gaby"
"878",878,"","","ISBN:978-84-205-5460-0 (Pearson Alhambra)  Pp., 84-205-5460-X, IDN:1014968623",NA,"Nieto Silva","Eva",NA,"La batalla / trad. del alemán Eva Nieto Silva","La batalla / trad. del alemán Eva Nieto Silva","",NA,NA,NA,NA,2008,"438 S.","978-84-205-5460-0",NA,NA,NA,"Pp.","spa","",NA,NA,"","","http://d-nb.info/1017475563",NA,"","","",NA,"94,P01",2468,1,NA,NA,"Nieto Silva, Eva"
"891",891,"","","ISBN:978-94-014-0600-0 kart. : EUR 10.95, 9401406006 (falsch), IDN:1041901771","","De Lombaert","Anja",NA,"Gevaarlijk spel / [vertaling: Anja De Lombaert]","Gevaarlijk spel / [vertaling: Anja De Lombaert]","2. dr.",NA,NA,NA,NA,2012,"217 S.","978-94-014-0600-0",NA,NA,NA,"kart. : EUR 10.95","dut","","",NA,"","","http://d-nb.info/1067881425",NA,"","","",NA,"15,A11",2468,1,NA,NA,"De Lombaert, Anja"
"892",892,"","","ISBN:978-605-343-286-9 kart. : TL 30.00, IDN:1055925449","","Belitz","Bettina"," Gürbüz, Firuzan [Übersetzer]","3. Kalp kırıkları / Bettina Belitz. Almancadan çeviren: Firuzan Gürbüz","3. Kalp kırıkları / Bettina Belitz. Almancadan çeviren: Firuzan Gürbüz","1. baskı",NA,NA,NA,NA,2014,"637 S.","978-605-343-286-9",NA,NA,NA,"kart. : TL 30.00","tur","",NA,NA,"Pegasus yayınları ; 840; [Pegasus yayınları / Gençlik] Pegasus yayınları, Gençlik ; 133","","http://d-nb.info/1044498161, http://d-nb.info/989487571",NA,"","","","","15,A19",2468,1,NA,NA,"Belitz, Bettina"
"949",949,"","","ISBN:2-253-13233-0 kart. : ffr 130.00, 2253132330 (falsch) kart. : ffr 130.00, IDN:951681168",NA,"Servicen","Louise",NA,"3. / Notice et notes de Claude David et Dominique Iehl. Trad. de Louise Servicen ...","3. / Notice et notes de Claude David et Dominique Iehl. Trad. de Louise Servicen ...","1. éd.",NA,NA,NA,NA,1996,"1151 S.","2-253-13233-0",NA,NA,NA,"kart. : ffr 130.00","fre","","","","","","http://d-nb.info/945277296",NA,"","","","","98,G01,1484",2468,1,NA,NA,"Servicen, Louise"
"951",951,"","","ISBN:80-85844-56-7 Gewebe, IDN:96212155X",NA,"Pátková","Eva",NA,"Sv. 11. Dopisy Felici / [překl. Viola Fischerová. Odborná red. textu a komentář Eva Pátková]","Sv. 11. Dopisy Felici / [překl. Viola Fischerová. Odborná red. textu a komentář Eva Pátková]","Vyd. 1.",NA,NA,NA,NA,1999,"966 S.","80-85844-56-7",NA,NA,NA,"Gewebe","cze","","","","","","http://d-nb.info/95155266X",NA,"","","","","01,G04,1763",2468,1,NA,NA,"Pátková, Eva"
"966",966,"","","ISBN:978-605-343-105-3 kart., IDN:1046656368","","Belitz","Bettina"," Gürbüz, Firuzan [Übersetzer]","2. Hayal kırıkları / Bettina Belitz. Almancadan çeviren: Firuzan Gürbüz","2. Hayal kırıkları / Bettina Belitz. Almancadan çeviren: Firuzan Gürbüz","1. baskı",NA,NA,NA,NA,2013,"683 S.","978-605-343-105-3",NA,NA,NA,"kart.","tur","","",NA,"Pegasus yayınları ; 673; [Pegasus yayınları / Bestseller roman] Pegasus yayınları, Bestseller roman ; 292","","http://d-nb.info/1044498161, http://d-nb.info/989487571",NA,"","","",NA,"14,A06",2468,1,NA,NA,"Belitz, Bettina"
"1019",1019,"","","ISBN:Pp., IDN:1028053290","","Echerer","Mercedes"," Nöstlinger, Christine [Mitwirkender] ","Buch. / [Ill.: Susanne Schmögner]","Buch. / [Ill.: Susanne Schmögner]","",NA,NA,NA,NA,2012,"279 S. : Ill. ; 23 cm","",NA,NA,NA,"Pp.","ger","","",NA,"","Inhaltsverzeichnis [http://d-nb.info/1028053290/04]","http://d-nb.info/1036554082",NA,"","","",NA,"12,N48 , 13,A28",2468,1,NA,NA,"Echerer, Mercedes"
"1037",1037,"","","ISBN:978-94-6054-062-2 Pp., IDN:1010266616",NA,"Doelman","Elke",NA,"50. / Vertaling: Elke Doelman","50. / Vertaling: Elke Doelman","",NA,NA,NA,NA,2010,"[40] S. : Ill.","978-94-6054-062-2",NA,NA,NA,"Pp.","dut","","",NA,"","","http://d-nb.info/1013123131",NA,"","","","","11,A27",2468,1,NA,NA,"Doelman, Elke"
"1040",1040,"","","ISBN:5-7390-0125-0, IDN:976812789",NA,"Davydova","B.",NA,"Kn. 1. / [Per. s nemeckogo B. Davydovoj ; V. Nižnika]","Kn. 1. / [Per. s nemeckogo B. Davydovoj ; V. Nižnika]","",NA,NA,NA,NA,1993,"301 S. : Ill.","5-7390-0125-0",NA,NA,NA,"","rus","","","","","","http://d-nb.info/992573572",NA,"","Mikrofiche-Ausg.: 1993. 6 Mikrofiches : 24x","","","94,P01",2468,1,NA,NA,"Davydova, B."
"1079",1079,"","","ISBN:978-3-9502315-1-9 Pp. : EUR 23.00 (DE), EUR 23.70 (AT), sfr 36.80 (freier Pr.) (jeweils mit CD), 3-9502315-1-X Pp. : EUR 23.00 (DE), EUR 23.70 (AT), sfr 36.80 (freier Pr.) (jeweils mit CD), IDN:986952435",NA,"Koschel","Christine",NA,"Bd. 2. Christine Koschel - Székely Magda; Buch.","Bd. 2. Christine Koschel - Székely Magda; Buch.","Erstausg. der Übers.",NA,NA,NA,NA,2007,"160 S. : Ill. ; 21 cm","978-3-9502315-1-9",NA,NA,NA,"Pp. : EUR 23.00 (DE), EUR 23.70 (AT), sfr 36.80 (freier Pr.) (jeweils mit CD)","ger","",NA,NA,"","Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=3050168&prov=M&dok_var=1&dok_ext=htm]","http://d-nb.info/98978777X",NA,"","","",NA,"08,N04,2793 , 08,A19,2390",2468,1,NA,NA,"Koschel, Christine"
"1081",1081,"","","ISBN:Kunststoff, IDN:954881214",NA,"Traczewska","Maria",NA,"T. 3. / Przeł. Maria Traczewska","T. 3. / Przeł. Maria Traczewska","",NA,NA,NA,NA,1997,"583 S.","",NA,NA,NA,"Kunststoff","pol","","","","","","http://d-nb.info/954880951",NA,"","","","","99,G01,1289",2468,1,NA,NA,"Traczewska, Maria"
"1107",1107,"","","ISBN:978-80-242-3080-1 Pp., IDN:1013482891",NA,"Vízdalová","Ivana",NA,"D. 2.  Lodní ranhojič / [z německého orig. přel. Ivana Führmann Vízdalová]","D. 2.  Lodní ranhojič / [z německého orig. přel. Ivana Führmann Vízdalová]","Vyd. 2.",NA,NA,NA,NA,2011,"564 S. ; 21 cm","978-80-242-3080-1",NA,NA,NA,"Pp.","cze","",NA,NA,"","","http://d-nb.info/101879722X",NA,"","","","","12,A04",2468,1,NA,NA,"Vízdalová, Ivana"
"1168",1168,"","","ISBN:2-265-08076-4 kart., IDN:983181748",NA,"Girard","Agnès",NA,"10. La déesse venue de l'infini / [trad. et adapté de l'allemand par Agnès Girard]","10. La déesse venue de l'infini / [trad. et adapté de l'allemand par Agnès Girard]","",NA,NA,NA,NA,2005,"281 S.","2-265-08076-4",NA,NA,NA,"kart.","fre","",NA,NA,"Univers Perry Rhodan ; 10","","http://d-nb.info/973880449, http://d-nb.info/97388021X",NA,"","","",NA,"08,A01,1661",2468,1,NA,NA,"Girard, Agnès"
"1266",1266,"","","ISBN:5-486-00531-8 Pp. : Rbl 104.00, IDN:989616134",NA,"Munina","N. Ju.",NA,"Kamni Fatimy / [per. s nem. N. Ju. Muninoj]","Kamni Fatimy / [per. s nem. N. Ju. Muninoj]","",NA,NA,NA,NA,2006,"431 S.","5-486-00531-8",NA,NA,NA,"Pp. : Rbl 104.00","rus","",NA,NA,"","","http://d-nb.info/987282964",NA,"","","",NA,"94,P01",2468,1,NA,NA,"Munina, N. Ju."
"1311",1311,"","","ISBN:978-84-205-5463-1 Pp., 84-205-5463-4, IDN:101709831X","","Nieto Silva","Eva",NA,"La maga / trad. del alemán Eva Nieto Silva","La maga / trad. del alemán Eva Nieto Silva","",NA,NA,NA,NA,2009,"1000 S.","978-84-205-5463-1","",NA,NA,"Pp.","spa","","",NA,"","","http://d-nb.info/1017475563",NA,"","","","","13,A06",2468,1,NA,NA,"Nieto Silva, Eva"
"1328",1328,"","","ISBN:951-30-9266-6 Pp. : Fmk 133.00, IDN:950817821",NA,"Suominen","Oili",NA,"2. Kirjanpitäjä Esch eli Anarkia : 1903 / suomentanut Oili Suominen","2. Kirjanpitäjä Esch eli Anarkia : 1903 / suomentanut Oili Suominen","",NA,NA,NA,NA,1990,"219 S.","951-30-9266-6",NA,NA,NA,"Pp. : Fmk 133.00","fin","","","","Keltainen kirjasto ; 240","","http://d-nb.info/944272940, http://d-nb.info/552021229",NA,"","","","","97,G04,1378",2468,1,NA,NA,"Suominen, Oili"
"1340",1340,"","","URN:urn:nbn:de:101:1-2017121128552, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2017121128552, URL:http://d-nb.info/1148157484/34, IDN:1148157484","Online-Ressource","Brodsḳi","ʿAdah"," Salṭon, Tsevi [Mitwirkender]","[CD] / ḳeriʾah: ʿAdah Brodsḳi (Germani), Tsevi Salṭon (ʿIvrit)","[CD] / ḳeriʾah: ʿAdah Brodsḳi (Germani), Tsevi Salṭon (ʿIvrit)","",NA,NA,NA,NA,2017,"1 Online-Ressource (1 CD)","","",NA,NA,"","heb","","",NA,"","","http://d-nb.info/1148157441",NA,"","","","","94,P01",2468,1,NA,NA,"Brodsḳi, ʿAdah"
"1344",1344,"","","ISBN:2-7427-1895-8 (Actes Sud)  kart., 2-7609-2016-X (Leméac)  kart., IDN:958504792",NA,"Billmann","Catherine",NA,"2. / Trad. de l'allemand par Catherine Billmann et Jacques Cellard","2. / Trad. de l'allemand par Catherine Billmann et Jacques Cellard","",NA,NA,NA,NA,1998,"188 S.","2-7427-1895-8",NA,NA,NA,"kart.","fre","","","","Babel ; 352","","http://d-nb.info/958504733, http://d-nb.info/025266349",NA,"","","","","00,G02,1880",2468,1,NA,NA,"Billmann, Catherine"
"1353",1353,"","","ISBN:978-605-5289-12-6 kart. : TL 25.00, IDN:1033229490","","Belitz","Bettina"," Gürbüz, Firuzan [Übersetzer]","1. Aşk kırıkları / Bettina Belitz. Almancadan çeviren: Firuzan Gürbüz","1. Aşk kırıkları / Bettina Belitz. Almancadan çeviren: Firuzan Gürbüz","1. baskı",NA,NA,NA,NA,2012,"614 S.","978-605-5289-12-6",NA,NA,NA,"kart. : TL 25.00","tur","","",NA,"Pegasus yayınları ; 491; [Pegasus yayınları / Bestseller roman] Pegasus yayınları, Bestseller roman ; 196","","http://d-nb.info/1044498161, http://d-nb.info/989487571",NA,"","","",NA,"13,A49",2468,1,NA,NA,"Belitz, Bettina"
"1355",1355,"","","ISBN:978-4-15-011692-7 kart. : Y 580.00, IDN:992760100",NA,"Hayashi","Keiko",NA,"355. Taitan-no-hagane-yōsai / Uiriamu Forutsu & Hansu Kunaiferu. Hayashi Keiko yaku","355. Taitan-no-hagane-yōsai / Uiriamu Forutsu & Hansu Kunaiferu. Hayashi Keiko yaku","",NA,NA,NA,NA,2008,"269 S. : Ill. ; 15 cm","978-4-15-011692-7",NA,NA,NA,"kart. : Y 580.00","jpn","",NA,NA,"[Hayakawa-bunko / SF] Hayakawa bunko, SF ; 1692","","http://d-nb.info/1108602320, http://d-nb.info/965282317",NA,"","","",NA,"09,A30,2413",2468,1,NA,NA,"Hayashi, Keiko"
"1382",1382,"","","ISBN:Pp., IDN:1028053258","","Echerer","Mercedes"," Nöstlinger, Christine [Mitwirkender] ","Buch. / [Ill.: Susanne Schmögner]","Buch. / [Ill.: Susanne Schmögner]","",NA,NA,NA,NA,2012,"279 S. : Ill. ; 23 cm","",NA,NA,NA,"Pp.","ger","","",NA,"","Inhaltsverzeichnis [http://d-nb.info/1028053258/04]","http://d-nb.info/1036553388",NA,"","","",NA,"12,N48 , 13,A28",2468,1,NA,NA,"Echerer, Mercedes"
"1386",1386,"","","ISBN:2-7427-1374-3 (Actes Sud)  kart. : ffr 45.00, 2-7609-1842-4 (Leméac)  kart., IDN:955998158",NA,"Billmann","Catherine",NA,"1. / Trad. de Catherine Billmann et Jacques Cellard","1. / Trad. de Catherine Billmann et Jacques Cellard","1. ed.",NA,NA,NA,NA,1997,"201 S.","2-7427-1374-3",NA,NA,NA,"kart. : ffr 45.00","fre","","","","Babel ; 285","","http://d-nb.info/955998050, http://d-nb.info/025266349",NA,"","","","","99,G02,1288",2468,1,NA,NA,"Billmann, Catherine"
"1406",1406,"","","ISBN:5-7390-0226-5, IDN:976813114",NA,"Davydova","B.",NA,"Kn. 3. / [Per. s nemeckogo B. Davydovoj ; V. Nižnika]","Kn. 3. / [Per. s nemeckogo B. Davydovoj ; V. Nižnika]","",NA,NA,NA,NA,1993,"268 S.","5-7390-0226-5",NA,NA,NA,"","rus","","","","","","http://d-nb.info/992573572",NA,"","Mikrofiche-Ausg.: 1993. 5 Mikrofiches : 24x","","","94,P01",2468,1,NA,NA,"Davydova, B."
"1460",1460,"","","ISBN:9985-896-79-3 kart., IDN:972701028",NA,"Alexander","Anne",NA,"Nr. 2. Mõrvarlik malepartii / Anne Alexander. [Tõlkinud Ain Lorits]","Nr. 2. Mõrvarlik malepartii / Anne Alexander. [Tõlkinud Ain Lorits]","",NA,NA,NA,NA,2001,"63 S.","9985-896-79-3",NA,NA,NA,"kart.","est","",NA,NA,"","","http://d-nb.info/976787571",NA,"","","",NA,"05,A48,1640",2468,1,NA,NA,"Alexander, Anne"
"1469",1469,"","","ISBN:Pp., IDN:1037706854","","Antonietti","Federica",NA,"Buch. / [Übers.: Federica Antonietti ; Mirella Bonacina]","Buch. / [Übers.: Federica Antonietti ; Mirella Bonacina]","",NA,NA,NA,NA,2012,"324 S. : zahlr. Ill. ; 24 cm","",NA,NA,NA,"Pp.","ger","","",NA,"","Inhaltsverzeichnis [http://d-nb.info/1037706854/04]","http://d-nb.info/1045067687",NA,"","","",NA,"13,A51",2468,1,NA,NA,"Antonietti, Federica"
