"","Var1","place_freq_all","place_freq_f","perc"
"171","Exeter",3,1,33.3333333333333
"172","Falsterbo",1,1,100
"173","Fanhões",1,1,100
"174","Farum",3,2,66.6666666666667
"175","Fatih",1,1,100
"176","Fayetteville",2,1,50
"177","Ferrara",8,6,75
"178","Firenze",126,77,61.1111111111111
"179","Frankfurt",84,15,17.8571428571429
"180","Fredensborg",2,2,100
"181","Frederiksberg",4,1,25
"182","Freiberg a N",8,2,25
"183","Frýdek Místek",51,27,52.9411764705882
"184","Füssen",1,1,100
"185","Gabrovo",19,2,10.5263157894737
"186","Galatasaray",115,10,8.69565217391304
"187","Gdańsk",43,5,11.6279069767442
"188","Gdynia",8,1,12.5
"189","Gelnhausen Roth",2,2,100
"190","Geneve",72,7,9.72222222222222
"191","Genève",34,9,26.4705882352941
"192","Gent",8,2,25
"193","Go yang si",4,2,50
"194","Godalming",1,1,100
"195","Gornji Milanovac",5,1,20
"196","Göteborg",19,6,31.5789473684211
"197","Göttingen",3,2,66.6666666666667
"198","Grainville",3,1,33.3333333333333
"199","Grand Haven",47,35,74.468085106383
"200","Grand Saconnex",1,1,100
"201","Graz",2,1,50
"202","Greifswald",2,1,50
"203","Grudzia dz",1,1,100
"204","Guadalajara",2,1,50
"205","Guebwiller",2,2,100
"206","Gui yang",8,5,62.5
"207","Guilin",9,2,22.2222222222222
"208","Güneşli",16,6,37.5
"209","Güstrow",1,1,100
"210","Győr",3,1,33.3333333333333
"211","Ha er bin",1,1,100
"212","Ha Nội",1,1,100
"213","Hà Nôi",48,9,18.75
"214","Hägersten",1,1,100
"215","Halle",3,1,33.3333333333333
"216","Hamburg",25,7,28
"217","Hämeenlinna",16,3,18.75
"218","Harmondsworth",26,2,7.69230769230769
"219","Haselbach",20,3,15
"220","Haselbach b  Mitterfels",2,2,100
"221","Haselünne",1,1,100
"222","Hasselt",2,1,50
"223","Hattersheim",1,1,100
"224","Heerenveen",5,3,60
"225","Heimdal",1,1,100
"226","Helmond",4,2,50
"227","Helsingissä",43,13,30.2325581395349
"228","Helsingissä  Hki",1,1,100
"229","Helsingissä kustannusosakeyhtiö",1,1,100
"230","Helsinki",222,59,26.5765765765766
"231","Heveadorp",1,1,100
"232","Hod ha Sharon",1,1,100
"233","Hohen Neuendorf",6,2,33.3333333333333
"234","Hohen Neuendorf bei Berlin",1,1,100
"235","Højbjerg",19,5,26.3157894736842
"236","Homburg Jägersburg",1,1,100
"237","Homburg Saar",2,1,50
"238","Hoorn",4,3,75
"239","Houten",19,8,42.1052631578947
"240","Iaşi",67,11,16.4179104477612
"241","Immenstadt",1,1,100
"242","Imola",1,1,100
"243","Indaiatuba",1,1,100
"244","Innsbruck",10,1,10
"245","Iruña",1,1,100
"246","İstanbul",267,62,23.2209737827715
"247","Izabelin",6,3,50
"248","İzmir",5,3,60
"249","Izola",2,1,50
"250","Jakarta",12,1,8.33333333333333
"251","Jefferson",1,1,100
"252","Jerewan",2,1,50
"253","Jyväskylä",38,5,13.1578947368421
"254","Kadıköy",11,3,27.2727272727273
"255","Kâğıthane",5,3,60
"256","Kampen",30,3,10
"257","Karlsruhe",18,1,5.55555555555556
"258","Kassel",2,1,50
"259","Katowice",277,206,74.3682310469314
"260","Katwijk aan Zee",2,1,50
"261","Kaunas",53,6,11.3207547169811
"262","Kazowice",1,1,100
"263","Kbh",3,1,33.3333333333333
"264","Kecskemét",4,1,25
"265","Kiel",2,1,50
"266","Kielce",29,8,27.5862068965517
"267","Kiev",9,1,11.1111111111111
"268","Kišinev",1,1,100
"269","Kızılay",10,2,20
"270","Klagenfurt",68,10,14.7058823529412
"271","Klosterneuburg",1,1,100
"272","København",394,91,23.0964467005076
"273","Kolham",12,1,8.33333333333333
"274","Köln",102,20,19.6078431372549
"275","Königswinter",2,1,50
"276","Konin",3,1,33.3333333333333
"277","Korntal",11,9,81.8181818181818
"278","Korntalʹ",1,1,100
"279","Košice",8,1,12.5
"280","Kostelní Vydří",43,1,2.32558139534884
"281","Kraków",215,52,24.1860465116279
"282","Krasnojarsk",1,1,100
"283","Kreuzlingen",1,1,100
"284","Kuddewörde",5,3,60
"285","Kuressaare",8,3,37.5
"286","Kyi  v",29,2,6.89655172413793
"287","L vov",1,1,100
"288","Lʹviv",14,2,14.2857142857143
"289","La Broque",1,1,100
"290","La Coruña",3,1,33.3333333333333
"291","La Habana",4,1,25
"292","La Roque sur Pernes",2,1,50
"293","Lagrasse",38,11,28.9473684210526
"294","Lanham",6,1,16.6666666666667
"295","Lantzville",1,1,100
"296","Las Rozas",1,1,100
"297","Las Vegas",17,10,58.8235294117647
"298","Laubach",4,1,25
"299","Lausanne",65,13,20
"300","Laval",2,2,100
"301","Le Chambon sur Lignon",4,1,25
"302","Le Mans",7,5,71.4285714285714
"303","Leeuwarden",4,2,50
"304","Leicester",4,2,50
"305","Leidschendam",1,1,100
"306","Leikanger",8,2,25
"307","Leipzig",66,26,39.3939393939394
"308","Lëtzebuerg",1,1,100
"309","Levoča",1,1,100
"310","Lewisburg",3,1,33.3333333333333
"311","Lewiston",10,1,10
"312","Liberec",6,2,33.3333333333333
"313","Libeznice",1,1,100
"314","Líbeznice",13,11,84.6153846153846
"315","Liège",2,1,50
"316","Lille",4,1,25
"317","Lincoln",15,8,53.3333333333333
"318","Liptovský Mikuláš",1,1,100
"319","Lisboa",251,38,15.1394422310757
"320","Ljubljana",250,52,20.8
"321","Lleida",2,1,50
"322","Locarno",13,2,15.3846153846154
"323","Łódź",17,6,35.2941176470588
"324","London",901,164,18.2019977802442
"325","Los Angeles",12,2,16.6666666666667
"326","Lublin",14,1,7.14285714285714
"327","Ludvika",1,1,100
"328","Ludwigshafen am Rhein",3,3,100
"329","Lugano",12,1,8.33333333333333
"330","Lund",60,23,38.3333333333333
"331","Lyttelton",1,1,100
"332","Maastricht",2,1,50
"333","Madison",5,2,40
"334","Madrid",912,119,13.0482456140351
"335","Mainz",7,2,28.5714285714286
"336","Malmö",44,22,50
"337","Manchester",15,4,26.6666666666667
"338","Manresa",2,2,100
"339","Maribor",43,10,23.2558139534884
"340","Marke",1,1,100
"341","Marktleuthen",1,1,100
"342","Marseille",15,2,13.3333333333333
"343","Meinerzhagen",3,1,33.3333333333333
"344","Melbourne",19,6,31.5789473684211
"345","Melhus",6,2,33.3333333333333
"346","Merano",1,1,100
"347","Merchantville",1,1,100
"348","Messen",62,20,32.258064516129
"349","Metamorphōsē",1,1,100
"350","Mettingen",1,1,100
"351","Metz",2,1,50
"352","Meudon",11,3,27.2727272727273
"353","México",53,7,13.2075471698113
"354","Miercurea Ciuc",8,1,12.5
"355","Milano",1112,248,22.3021582733813
"356","Minneapolis",12,2,16.6666666666667
"357","Minsk",49,4,8.16326530612245
"358","Mitterfels",5,5,100
"359","Monaco",27,7,25.9259259259259
"360","Monfalcone",1,1,100
"361","Montblanc",7,2,28.5714285714286
"362","Montmorency",1,1,100
"363","Montpellier",16,1,6.25
"364","Montréal",5,4,80
"365","Montreuil",12,1,8.33333333333333
"366","Montreuil sur Brèche",1,1,100
"367","Montreux",2,1,50
"368","Moshav Ben Shemen",1,1,100
"369","Mühlheim am Main",1,1,100
"370","Mühltal",51,5,9.80392156862745
"371","München",51,15,29.4117647058824
"372","Munich",3,1,33.3333333333333
"373","Murcia",2,1,50
"374","Murnau am Staffelsee",1,1,100
"375","Myslava",1,1,100
"376","Mytholmroyd",1,1,100
"377","Naarden",1,1,100
"378","Nagano ken Suwa shi",1,1,100
"379","Nagykanizsa",7,6,85.7142857142857
"380","Námestovo",1,1,100
"381","Nan jing",35,4,11.4285714285714
"382","Nan ning",2,1,50
"383","Napoli",17,3,17.6470588235294
"384","Nayī Dillī",3,1,33.3333333333333
"385","Neckarmühlbach",1,1,100
"386","Neckarsteinach",26,1,3.84615384615385
"387","Neuötting",1,1,100
"388","New Delhi",14,1,7.14285714285714
"389","New Milford",6,3,50
"390","New Orleans",1,1,100
"391","New York",558,87,15.5913978494624
"392","New York City",9,1,11.1111111111111
"393","Niederwerrn",1,1,100
"394","Nieuwegein",6,2,33.3333333333333
"395","Nijmegen",5,1,20
"396","Nîmes",41,10,24.390243902439
"397","Norderstedt",17,1,5.88235294117647
"398","North Kingstown",1,1,100
"399","Nová Dubnica",2,1,50
"400","Novara",4,2,50
"401","Novi Beograd",2,1,50
"402","Noville sur Mehaigne",2,1,50
"403","Novo Miloševo",1,1,100
"404","Oakland",2,2,100
"405","Ober Flörsheim",2,1,50
"406","Oberhof",2,2,100
"407","Odense",9,2,22.2222222222222
"408","Oirschot",1,1,100
"409","Oldenburg",2,1,50
"410","Olomouc",41,13,31.7073170731707
"411","Olsztyn",17,2,11.7647058823529
"412","Opole",13,1,7.69230769230769
"413","Ôr Yehûdā",18,4,22.2222222222222
"414","Orihuela Costa",1,1,100
"415","Orlando",7,1,14.2857142857143
"416","Osasco",1,1,100
"417","Oslo",456,94,20.6140350877193
"418","Ostrava",36,1,2.77777777777778
"419","Ottawa",3,3,100
"420","Ourense",8,2,25
"421","Oxford",32,3,9.375
"422","Ozolnieki",2,2,100
"423","P aju",5,2,40
"424","Pa ju",2,1,50
"425","Pa ju si",13,5,38.4615384615385
"426","Padova",4,1,25
"427","Palermo",48,10,20.8333333333333
"428","Pantin",3,1,33.3333333333333
"429","Paris",2676,435,16.2556053811659
"430","Parma",43,2,4.65116279069767
"431","Pasian di Prato",5,1,20
"432","Pécs",40,7,17.5
"433","Péronnas",11,6,54.5454545454545
"434","Pescara",1,1,100
"435","Pisa",9,1,11.1111111111111
"436","Pistoia",6,2,33.3333333333333
"437","Piteşti",19,1,5.26315789473684
"438","Pleinfeld",1,1,100
"439","Plovdiv",75,14,18.6666666666667
"440","Plzeň",4,1,25
"441","Porrentruy",1,1,100
"442","Portishead",1,1,100
"443","Porto",41,7,17.0731707317073
"444","Porto Alegre",11,1,9.09090909090909
"445","Porvoo",14,5,35.7142857142857
"446","Poznań",129,39,30.2325581395349
"447","Praha",1344,329,24.4791666666667
"448","Praha 4",1,1,100
"449","Příbram",1,1,100
"450","Providence",11,4,36.3636363636364
"451","Providencia",3,3,100
"452","Pusan",1,1,100
"453","Qormi",1,1,100
"454","Ra anana",1,1,100
"455","Radebeul",1,1,100
"456","Radovljica",7,2,28.5714285714286
"457","Regensburg",6,2,33.3333333333333
"458","Reggio Emilia",2,1,50
"459","Reinbek bei Hamburg",7,5,71.4285714285714
"460","Remscheid",3,1,33.3333333333333
"461","Reus",3,1,33.3333333333333
"462","Reykjavík",41,5,12.1951219512195
"463","Rheda Wiedenbrück",5,2,40
"464","Rīgā",369,155,42.0054200542005
"465","Rijen",11,8,72.7272727272727
"466","Rijswijk",30,8,26.6666666666667
"467","Rio de Janeiro",125,20,16
"468","Rio Tinto",2,1,50
"469","Riverside",122,25,20.4918032786885
"470","Rochester",15,1,6.66666666666667
"471","Rödermark",1,1,100
"472","Rodez",2,1,50
"473","Rødovre",10,4,40
"474","Roma",326,94,28.8343558282209
"475","Romanel sur Lausanne",3,3,100
"476","Rosario",4,3,75
"477","Roskilde",24,7,29.1666666666667
"478","Rotterdam",15,5,33.3333333333333
"479","Rovereto",61,26,42.6229508196721
"480","Ruse",18,5,27.7777777777778
"481","Rüsselsheim",1,1,100
"482","S  Angela in Formis",1,1,100
"483","s Graveland",12,1,8.33333333333333
"484","s Hertogenbosch",2,1,50
"485","S l",10,1,10
"486","Sada",1,1,100
"487","Saettle",1,1,100
"488","Saint Fargeau",2,2,100
"489","Saint Quentin de Caplong",1,1,100
"490","Saint Vincent de Mercuze",1,1,100
"491","Saintes",1,1,100
"492","Sala Södermalm",2,1,50
"493","Salamanca",8,3,37.5
"494","Saluzzo",1,1,100
"495","Salzburg",4,1,25
"496","Šamorín",2,1,50
"497","San Francisco",12,1,8.33333333333333
"498","San Pietro in Cariano",1,1,100
"499","Sankt Peterburg",277,36,12.9963898916967
"500","Santa Marta de Tormes",12,3,25
"501","Santander",3,1,33.3333333333333
"502","Santiago de Chile",2,1,50
"503","São Paulo",170,30,17.6470588235294
"504","Sarajevo",21,4,19.047619047619
"505","Sausalito",3,3,100
"506","Savage",1,1,100
"507","Sawtry",24,1,4.16666666666667
"508","Schaesberg",1,1,100
"509","Schmitten",2,2,100
"510","Schönkirchen",1,1,100
"511","Schweinfurt",5,3,60
"512","Seattle",36,28,77.7777777777778
"513","Segrate",2,1,50
"514","Seltjarnarnesi",2,1,50
"515","Senica",5,1,20
"516","Šentjur",1,1,100
"517","Seo ul",56,21,37.5
"518","Sevenoaks",1,1,100
"519","Sevilla",25,3,12
"520","Shang hai",105,22,20.952380952381
"521","Shen zhen",3,3,100
"522","Shi jia zhuang",15,2,13.3333333333333
"523","Siedlce",2,2,100
"524","Siena",4,1,25
"525","Šilutė",3,1,33.3333333333333
"526","Şişli",8,2,25
"527","Skivarp",6,1,16.6666666666667
"528","Skopje",105,22,20.952380952381
"529","Słupsk",2,1,50
"530","Smederevo",7,1,14.2857142857143
"531","Södermalm",1,1,100
"532","Soesterberg",11,2,18.1818181818182
"533","Sofija",604,95,15.7284768211921
"534","Solna",2,1,50
"535","Somonte Cenero",1,1,100
"536","Sŏul",119,23,19.327731092437
"537","South Pasadena",1,1,100
"538","South Royalton",2,2,100
"539","Spanien",1,1,100
"540","Sremski Karlovci",57,2,3.50877192982456
"541","St  Gallen",4,1,25
"542","St  Louis",1,1,100
"543","St Quentin de Caplong",4,3,75
"544","Stavanger",8,2,25
"545","Stockholm",424,132,31.1320754716981
"546","Strasbourg",17,2,11.7647058823529
"547","Stronie Śląskie",2,1,50
"548","Stuttgart",30,3,10
"549","Suitashi",1,1,100
"550","Suwa",7,5,71.4285714285714
"551","Syracuse",3,1,33.3333333333333
"552","Szczecin",3,2,66.6666666666667
"553","Szeged",22,6,27.2727272727273
"554","T arn asen",2,1,50
"555","T bilisi",71,17,23.943661971831
"556","Taching am See",1,1,100
"557","Tacoma",1,1,100
"558","Tai bei",127,36,28.3464566929134
"559","Tai bei shi",2,1,50
"560","Taksim",21,8,38.0952380952381
"561","Tårnåsen",3,2,66.6666666666667
"562","Tartu",21,5,23.8095238095238
"563","Taufkirchen",1,1,100
"564","Tehran",133,13,9.77443609022556
"565","Tel Aviv",163,21,12.8834355828221
"566","Tempe",2,1,50
"567","Terhorst",1,1,100
"568","Thessalonikē",13,4,30.7692307692308
"569","Tholey",6,6,100
"570","Thorndike",3,1,33.3333333333333
"571","Thun",1,1,100
"572","Tiranë",90,24,26.6666666666667
"573","Todmorden",9,3,33.3333333333333
"574","Tokyo",1,1,100
"575","Tōkyō",446,79,17.7130044843049
"576","Toliara",1,1,100
"577","Tollarp",1,1,100
"578","Tolvsrad",1,1,100
"579","Topkapı",3,2,66.6666666666667
"580","Torino",151,13,8.60927152317881
"581","Toronto",13,6,46.1538461538462
"582","Toruń",12,5,41.6666666666667
"583","Toulouse",37,13,35.1351351351351
"584","Tours",5,2,40
"585","Trebur",1,1,100
"586","Trenton",1,1,100
"587","Tres Cantos",26,7,26.9230769230769
"588","Trieste",5,1,20
"589","Trnava",9,3,33.3333333333333
"590","Trun",1,1,100
"591","Tržič",45,12,26.6666666666667
"592","Tübingen",4,1,25
"593","Tuebingen",1,1,100
"594","Turich",2,1,50
"595","Turin",1,1,100
"596","Turku",15,1,6.66666666666667
"597","Tver",4,1,25
"598","Udine",7,3,42.8571428571429
"599","Uithoorn",56,16,28.5714285714286
"600","Ulaanbaatar",7,1,14.2857142857143
"601","Umeå",7,2,28.5714285714286
"602","Upper Ferntree Gully",1,1,100
"603","Ursensollen",6,6,100
"604","Ústí nad Labem",3,2,66.6666666666667
"605","Ústi nad Orlicí",1,1,100
"606","Utrecht",120,38,31.6666666666667
"607","V Bratislavě",1,1,100
"608","V Ljubljani",17,5,29.4117647058824
"609","V Olomouci",6,1,16.6666666666667
"610","V Praze",107,20,18.6915887850467
"611","Valencia",46,2,4.34782608695652
"612","Vallodolid",2,1,50
"613","Vancouver",6,1,16.6666666666667
"614","Vanves Cedex",4,4,100
"615","Varese",1,1,100
"616","Varna",10,2,20
"617","Västra Frölunda",6,5,83.3333333333333
"618","Veghel",3,3,100
"619","Velilla de San Antonio",6,1,16.6666666666667
"620","Venezia",52,14,26.9230769230769
"621","Verden Aller",7,1,14.2857142857143
"622","Verona",7,4,57.1428571428571
"623","Vevey",13,3,23.0769230769231
"624","Vianen",11,9,81.8181818181818
"625","Vigo",21,3,14.2857142857143
"626","Vila do Conde",1,1,100
"627","Vila Nova de Gaia",2,1,50
"628","Vilnius",408,119,29.1666666666667
"629","Vinius",1,1,100
"630","Vnanje Gorice",1,1,100
"631","Vršac",12,2,16.6666666666667
"632","Vught",1,1,100
"633","W  Somerville",1,1,100
"634","Waddinxveen",4,1,25
"635","Warszawa",747,201,26.9076305220884
"636","Warszwa",1,1,100
"637","Weilburg",3,2,66.6666666666667
"638","Weilerswist",2,1,50
"639","Weinsheim",1,1,100
"640","Widnau",1,1,100
"641","Wien",24,12,50
"642","Wolfsberg",1,1,100
"643","Wołowiec",47,20,42.5531914893617
"644","Wrocław",160,30,18.75
"645","Wu han",4,4,100
"646","Würzburg",5,2,40
"647","Xixón",9,5,55.5555555555556
"648","Yenibosna",4,1,25
"649","Yerushalayim",48,6,12.5
"650","Ylöjärvi",6,4,66.6666666666667
"651","Zabgreb",1,1,100
"652","Zagreb",325,81,24.9230769230769
"653","Zaprešić",39,11,28.2051282051282
"654","Zaragoza",16,2,12.5
"655","Zarautz",3,1,33.3333333333333
"656","Zblov",15,3,20
"657","Zeist",10,1,10
"658","Zemun",9,6,66.6666666666667
"659","Zheng zhou",1,1,100
"660","Zlín",37,7,18.9189189189189
"661","Zoetermeer",5,2,40
"662","Zrenjanin",5,1,20
"663","Zürich",88,21,23.8636363636364
